freq,psd_x,psd_y,psd_z,psd_xyz
177.0,8.961e+03,1.373e+03,1.814e+02,1.051e+04
178.5,8.371e+03,1.263e+03,1.868e+02,9.820e+03
180.1,7.770e+03,1.176e+03,1.891e+02,9.135e+03
181.6,7.179e+03,1.148e+03,1.839e+02,8.511e+03
183.2,6.772e+03,1.054e+03,2.080e+02,8.035e+03
184.7,6.140e+03,9.309e+02,2.131e+02,7.284e+03
186.2,5.919e+03,8.731e+02,2.369e+02,7.029e+03
187.8,5.476e+03,8.234e+02,2.437e+02,6.543e+03
189.3,5.106e+03,8.119e+02,2.243e+02,6.142e+03
190.8,4.856e+03,7.414e+02,1.983e+02,5.796e+03
192.4,4.651e+03,6.206e+02,1.654e+02,5.437e+03
193.9,4.652e+03,5.487e+02,1.534e+02,5.355e+03
195.5,4.727e+03,4.862e+02,1.587e+02,5.371e+03
197.0,4.634e+03,4.078e+02,1.713e+02,5.213e+03
198.5,5.240e+03,4.078e+02,2.026e+02,5.850e+03
