freq,psd_x,psd_y,psd_z,psd_xyz
144.6,1.719e+04,1.154e+03,5.970e+02,1.894e+04
146.1,6.171e+04,2.397e+03,1.695e+03,6.581e+04
147.7,1.552e+04,1.343e+03,5.561e+02,1.742e+04
149.2,1.306e+03,1.216e+03,2.018e+02,2.723e+03
150.7,1.499e+03,1.357e+03,1.823e+02,3.038e+03
152.3,1.563e+03,1.291e+03,1.543e+02,3.008e+03
153.8,1.563e+03,1.213e+03,1.215e+02,2.898e+03
155.3,1.584e+03,1.127e+03,9.187e+01,2.803e+03
156.9,1.721e+03,1.024e+03,7.531e+01,2.820e+03
158.4,1.932e+03,9.014e+02,5.992e+01,2.893e+03
160.0,2.123e+03,7.879e+02,4.945e+01,2.960e+03
161.5,2.135e+03,7.097e+02,5.563e+01,2.900e+03
163.0,2.025e+03,6.676e+02,6.359e+01,2.756e+03
164.6,1.925e+03,6.911e+02,7.146e+01,2.688e+03
166.1,1.726e+03,7.570e+02,8.000e+01,2.563e+03
167.6,1.543e+03,9.045e+02,9.194e+01,2.540e+03
169.2,1.396e+03,1.102e+03,1.154e+02,2.614e+03
170.7,1.257e+03,1.503e+03,1.280e+02,2.888e+03
172.3,1.524e+03,2.384e+03,1.304e+02,4.039e+03
173.8,1.752e+03,2.906e+03,1.118e+02,4.770e+03
175.3,1.787e+03,3.018e+03,9.780e+01,4.903e+03
176.9,1.704e+03,3.031e+03,9.164e+01,4.827e+03
178.4,1.889e+03,3.000e+03,9.042e+01,4.979e+03
180.0,2.318e+03,2.941e+03,8.372e+01,5.343e+03
181.5,3.062e+03,2.854e+03,8.804e+01,6.004e+03
183.0,3.498e+03,2.702e+03,9.505e+01,6.295e+03
184.6,3.131e+03,2.551e+03,6.909e+01,5.751e+03
186.1,3.284e+03,2.409e+03,5.599e+01,5.749e+03
187.6,3.834e+03,2.218e+03,6.934e+01,6.121e+03
189.2,4.309e+03,1.942e+03,9.522e+01,6.345e+03
190.7,4.170e+03,1.616e+03,9.797e+01,5.884e+03
192.3,3.828e+03,1.385e+03,8.695e+01,5.300e+03
193.8,3.866e+03,1.474e+03,7.644e+01,5.417e+03
195.3,3.567e+03,1.496e+03,7.558e+01,5.138e+03
196.9,3.034e+03,1.204e+03,9.706e+01,4.336e+03
198.4,2.962e+03,1.031e+03,1.159e+02,4.109e+03
199.9,3.035e+03,1.047e+03,1.155e+02,4.197e+03
